brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
"(2,3,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"(2,11,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;1;1;0;1;1;2;2;1;0;1;1;1;2;0;1
"(12,13,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;1;1;1;1;1;0;1;1;2;1;1;1;1;1;1
"(12,16,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1
